Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ36,OUT027,4350.435595
FDK27,OUT045,1875.170414
FDW23,OUT018,895.5938636
FDM14,OUT018,2207.369249
FDM14,OUT013,1652.13829
FDW60,OUT018,3650.449539
FDE21,OUT013,1797.733368
NCM42,OUT035,1685.719672
FDY59,OUT010,249.8329628
DRI49,OUT049,1207.668151
FDT28,OUT019,393.9189991
FDQ22,OUT018,865.6504112
FDR60,OUT049,1134.248233
FDC50,OUT019,244.054371
FDV24,OUT013,2427.822775
DRF48,OUT010,501.2264432
FDQ47,OUT046,643.9943077
DRN36,OUT049,1463.797878
NCY06,OUT035,2009.289629
FDE52,OUT035,1347.041254
NCB54,OUT045,1988.443877
NCF31,OUT035,2442.254402
FDJ08,OUT027,4409.787725
NCC07,OUT017,1600.634923
NCD19,OUT027,1341.069395
FDL46,OUT049,1825.422863
FDM20,OUT045,3932.406105
NCI06,OUT010,472.9337352
DRM11,OUT035,4102.363405
NCH07,OUT018,3258.664559
FDS23,OUT013,2036.454819
FDO49,OUT018,1030.721775
FDS35,OUT049,985.3746478
DRK39,OUT045,1243.539258
DRI39,OUT049,880.3265908
FDV04,OUT017,2537.090896
NCN14,OUT035,2960.254272
FDH08,OUT013,3713.650678
FDS20,OUT046,2964.723958
FDV40,OUT049,1108.552301
FDZ48,OUT010,281.1975209
FDS24,OUT027,2005.551254
FDK44,OUT049,2820.810402
FDS48,OUT045,2401.608085
FDK26,OUT010,497.8507135
FDD23,OUT045,3057.496712
NCH54,OUT017,2597.582549
NCP14,OUT010,281.45714
FDM60,OUT010,134.7935962
FDV24,OUT017,2419.088126
FDH08,OUT018,4542.330161
FDS12,OUT027,3058.2823
FDR39,OUT027,4213.247765
FDP12,OUT027,1026.806917
DRF60,OUT027,5192.512813
FDC09,OUT035,1553.669713
FDF50,OUT018,4033.447235
FDG28,OUT035,3899.200579
NCE19,OUT017,856.8085179
NCM53,OUT010,274.0522481
NCN18,OUT049,1708.607363
FDF32,OUT035,3234.850435
FDF11,OUT013,3838.297711
DRI59,OUT049,3630.918656
NCG54,OUT035,2737.165877
FDM44,OUT046,1538.115491
FDT57,OUT018,4668.730017
FDV24,OUT046,2417.340707
FDI50,OUT019,591.3279235
FDS09,OUT035,803.8315984
NCC31,OUT027,3689.211236
FDQ07,OUT019,558.6836488
FDC22,OUT017,3108.221852
FDZ56,OUT046,2733.90902
FDZ40,OUT019,161.3230578
FDS46,OUT027,2787.87682
DRD24,OUT045,2226.699325
FDV45,OUT017,3071.169765
FDL26,OUT045,2493.911343
FDA56,OUT018,2505.848253
FDN27,OUT046,1810.422689
FDM20,OUT049,3915.800886
FDO16,OUT017,1251.311227
FDL03,OUT035,3178.146374
FDE58,OUT046,1795.529966
FDI02,OUT027,2645.627191
NCC55,OUT019,134.0072345
FDR03,OUT018,4169.363257
FDB14,OUT017,1370.122392
FDR45,OUT013,3860.050052
NCN07,OUT017,2029.02645
FDM51,OUT019,267.0784017
FDT52,OUT027,5312.931606
FDL26,OUT046,2467.135222
NCZ42,OUT046,3831.342536
DRI47,OUT019,376.975172
FDW40,OUT013,2236.664246
FDN34,OUT046,2731.780405
FDS01,OUT035,2888.395416
NCG55,OUT045,1786.657214
FDC11,OUT035,1284.786084
FDX35,OUT018,4500.161783
NCB06,OUT046,2575.935232
FDR09,OUT019,634.4696761
FDC53,OUT017,1471.436148
FDY45,OUT013,4066.205799
FDA22,OUT010,447.4075772
FDE02,OUT035,1443.947866
FDW21,OUT045,1542.076239
FDV34,OUT046,1100.362661
FDS59,OUT049,1666.063385
NCW17,OUT017,1991.650429
NCK54,OUT046,1812.362162
FDG17,OUT019,629.7866292
FDG35,OUT017,2795.952564
FDD08,OUT010,133.704806
NCO07,OUT017,3417.441168
FDJ10,OUT010,379.7523401
FDW36,OUT017,1586.237742
FDW21,OUT010,270.0321149
FDY19,OUT017,1810.861528
DRE03,OUT013,727.7320032
NCC55,OUT049,652.9618226
FDH52,OUT010,180.0260617
FDO09,OUT017,4185.416985
FDU43,OUT045,3850.097725
FDX09,OUT010,462.3604208
FDH40,OUT019,220.875203
FDW58,OUT017,1568.989576
FDC47,OUT017,3669.133094
NCR41,OUT035,1407.071612
DRG49,OUT035,3907.893592
FDC52,OUT027,3628.125513
FDY13,OUT046,1110.933484
FDY35,OUT013,699.0957976
FDI35,OUT017,2946.680118
NCU18,OUT049,2240.211259
FDY33,OUT018,3258.090934
FDC15,OUT027,3723.57901
FDU01,OUT049,3026.44421
NCU42,OUT046,2736.764213
NCV29,OUT018,3647.271891
NCY30,OUT017,2965.610691
FDQ46,OUT049,1731.37961
FDG58,OUT027,3663.866824
FDK33,OUT017,3459.355469
NCD07,OUT045,1789.835779
NCX29,OUT027,3452.088155
NCT42,OUT013,2367.24653
DRN59,OUT035,726.6887964
FDI44,OUT035,1166.926402
FDA45,OUT049,2885.358655
FDP31,OUT045,958.0452511
FDY01,OUT046,1777.317398
FDT09,OUT018,2703.692076
DRH03,OUT027,2205.344602
FDA36,OUT018,3818.282261
NCF31,OUT017,2456.311727
FDG14,OUT049,2419.401591
FDG28,OUT027,5320.97725
FDU14,OUT049,3997.972833
FDY47,OUT019,345.9782621
FDI56,OUT049,1367.518701
DRD01,OUT013,861.2950875
FDM22,OUT046,836.1616606
FDH33,OUT013,691.2582059
DRZ24,OUT013,1840.597694
NCQ38,OUT046,1594.328128
FDO16,OUT027,2019.26883
FDU07,OUT027,3559.368604
NCB07,OUT013,3160.070878
FDU48,OUT045,2066.26569
NCM43,OUT045,2660.803175
FDR31,OUT010,384.0699191
FDZ40,OUT019,897.1651729
FDS46,OUT027,600.8935655
DRD24,OUT045,2936.860746
FDV45,OUT017,3792.126424
FDL26,OUT045,1605.696496
FDA56,OUT018,1354.0553
FDN27,OUT046,2503.05156
FDM20,OUT049,3936.680563
FDO16,OUT017,1492.534574
FDL03,OUT035,2901.751224
FDE58,OUT046,3722.508343
FDI02,OUT027,1290.871449
NCC55,OUT019,3585.037244
FDR03,OUT018,2598.383939
FDB14,OUT017,1972.80249
FDR45,OUT013,1594.608941
NCN07,OUT017,1640.455404
FDM51,OUT019,3800.525395
FDT52,OUT027,3001.454224
FDL26,OUT046,3730.503604
NCZ42,OUT046,2487.747832
DRI47,OUT019,1528.781362
FDW40,OUT013,2425.358247
FDN34,OUT046,2858.86355
FDS01,OUT035,3218.749654
NCG55,OUT045,3191.173653
FDC11,OUT035,2997.939115
FDX35,OUT018,215.0814662
NCB06,OUT046,1984.799628
FDR09,OUT019,839.7427122
FDC53,OUT017,947.3655467
FDY45,OUT013,455.5768519
FDA22,OUT010,3524.535812
FDE02,OUT035,4174.660099
FDW21,OUT045,161.0212266
FDV34,OUT046,1636.476832
FDS59,OUT049,1806.087406
NCW17,OUT017,930.5984053
NCK54,OUT046,1603.80686
FDG17,OUT019,3098.229352
FDG35,OUT017,3202.418318
FDD08,OUT010,3866.453665
NCO07,OUT017,621.1818322
FDJ10,OUT010,2727.026611
FDW36,OUT017,3760.211459
FDW21,OUT010,1630.060398
FDY19,OUT017,2574.407688
DRE03,OUT013,2310.534372
NCC55,OUT049,4998.935365
FDH52,OUT010,2330.329993
FDO09,OUT017,1443.721784
FDU43,OUT045,3095.161402
FDX09,OUT010,777.0108213
FDH40,OUT019,266.0580415
FDW58,OUT017,633.3294754
FDC47,OUT017,3429.832088
NCR41,OUT035,3929.068312
DRG49,OUT035,3794.622957
FDC52,OUT027,858.8964522
FDY13,OUT046,2838.776225
FDY35,OUT013,2803.767372
FDI35,OUT017,561.8032035
NCU18,OUT049,2219.176585
FDY33,OUT018,1305.334614
FDC15,OUT027,757.9013906
FDU01,OUT049,926.7157376
NCU42,OUT046,2483.831022
NCV29,OUT018,2271.453461
NCY30,OUT017,1571.605311
FDQ46,OUT049,2625.844762
FDG58,OUT027,2552.31289
FDK33,OUT017,3865.014724
NCD07,OUT045,401.3590366
NCX29,OUT027,321.2329809
NCT42,OUT013,3634.538363
DRN59,OUT035,4093.849065
FDI44,OUT035,1497.542265
FDA45,OUT049,4165.636022
FDP31,OUT045,585.8037257
FDY01,OUT046,2414.089322
FDT09,OUT018,3442.160916
DRH03,OUT027,1512.10478
FDA36,OUT018,2934.656559
NCF31,OUT017,1291.741412
FDG14,OUT049,136.8219746
FDG28,OUT027,1720.654529
FDU14,OUT049,247.5257585
FDY47,OUT019,470.1797401
FDI56,OUT049,2809.843528
DRD01,OUT013,1903.475056
FDM22,OUT046,1415.488991
FDH33,OUT013,2979.777954
DRZ24,OUT013,4013.240777
NCQ38,OUT046,1961.109705
FDO16,OUT027,443.2422001
FDU07,OUT027,1987.769793
NCB07,OUT013,2411.244282
FDU48,OUT045,1319.971641
NCM43,OUT045,1694.351301
FDR31,OUT010,2656.000181
FDZ40,OUT019,2374.289766
FDS46,OUT027,1894.052442
DRD24,OUT045,778.263966
FDV45,OUT017,2381.330337
FDL26,OUT045,260.6091599
FDA56,OUT018,2653.750144
FDN27,OUT046,3049.99926
FDM20,OUT049,809.2827047
FDO16,OUT017,3036.792754
FDL03,OUT035,1355.229786
FDE58,OUT046,363.8047059
FDI02,OUT027,3169.285058
NCC55,OUT019,3658.479542
FDR03,OUT018,869.9213695
FDB14,OUT017,3835.794375
FDR45,OUT013,1730.728543
NCN07,OUT017,264.3619844
FDM51,OUT019,3448.779504
FDT52,OUT027,731.8998778
FDL26,OUT046,576.7948454
NCZ42,OUT046,4285.117377
DRI47,OUT019,1553.669713
FDW40,OUT013,1113.780454
FDN34,OUT046,985.80414
FDS01,OUT035,1853.201148
NCG55,OUT045,2213.767672
FDC11,OUT035,4885.404955
FDX35,OUT018,3895.640074
NCB06,OUT046,1143.888662
FDR09,OUT019,3955.635828
FDC53,OUT017,934.8330658
FDY45,OUT013,1879.495223
FDA22,OUT010,2654.647786
FDE02,OUT035,466.1754229
FDW21,OUT045,1840.406047
FDV34,OUT046,3777.873194
FDS59,OUT049,4925.487655
NCW17,OUT017,199.2935487
NCK54,OUT046,1401.363518
FDG17,OUT019,3339.408426
FDG35,OUT017,3417.561904
FDD08,OUT010,1848.414318
NCO07,OUT017,2849.13836
FDJ10,OUT010,731.404264
FDW36,OUT017,2178.905083
FDW21,OUT010,3735.375925
FDY19,OUT017,1721.776989
DRE03,OUT013,2734.819988
NCC55,OUT049,3884.301647
FDH52,OUT010,4344.034179
FDO09,OUT017,2977.448078
FDU43,OUT045,386.5633309
FDX09,OUT010,283.8679107
FDH40,OUT019,2974.424114
FDW58,OUT017,1964.11422
FDC47,OUT017,2839.026461
NCR41,OUT035,1487.512972
DRG49,OUT035,1405.96574
FDC52,OUT027,1313.668409
FDY13,OUT046,3600.376552
FDY35,OUT013,1497.927894
FDI35,OUT017,2416.448852
NCU18,OUT049,1793.533468
FDY33,OUT018,931.3519459
FDC15,OUT027,3093.505263
FDU01,OUT049,4230.171747
NCU42,OUT046,459.8562333
NCV29,OUT018,1345.857816
NCY30,OUT017,643.3080967
FDQ46,OUT049,4032.66074
FDG58,OUT027,1530.828942
FDK33,OUT017,4002.355585
NCD07,OUT045,2171.345549
NCX29,OUT027,2583.225152
NCT42,OUT013,130.4735966
DRN59,OUT035,125.7539699
FDI44,OUT035,823.7157178
FDA45,OUT049,3184.672808
FDP31,OUT045,3193.953194
FDY01,OUT046,216.6623418
FDT09,OUT018,657.2259343
DRH03,OUT027,3614.701834
FDA36,OUT018,1851.311167
NCF31,OUT017,2250.131609
FDG14,OUT049,3867.312375
FDG28,OUT027,3699.391476
FDU14,OUT049,1740.532706
FDY47,OUT019,3596.225381
FDI56,OUT049,2816.95569
DRD01,OUT013,4011.814861
FDM22,OUT046,1234.788017
FDH33,OUT013,3277.400148
DRZ24,OUT013,4080.928914
NCQ38,OUT046,2897.272138
FDO16,OUT027,1277.694407
FDU07,OUT027,424.4870341
NCB07,OUT013,2954.647392
FDU48,OUT045,1832.513544
NCM43,OUT045,3876.841033
FDR31,OUT010,2973.512041
FDZ40,OUT019,2446.939974
FDS46,OUT027,2269.816162
DRD24,OUT045,494.3351627
FDV45,OUT017,1300.683093
FDL26,OUT045,3699.270996
FDA56,OUT018,701.598488
FDN27,OUT046,4247.963237
FDM20,OUT049,292.1409028
FDO16,OUT017,1755.402062
FDL03,OUT035,2739.570951
FDE58,OUT046,3514.338397
FDI02,OUT027,4463.080132
NCC55,OUT019,3999.338964
FDR03,OUT018,169.4261949
FDB14,OUT017,1668.827691
FDR45,OUT013,2827.476392
NCN07,OUT017,2527.934833
FDM51,OUT019,265.5630561
FDT52,OUT027,3856.762822
FDL26,OUT046,2482.472239
NCZ42,OUT046,562.3940701
DRI47,OUT019,1749.611419
FDW40,OUT013,1033.951084
FDN34,OUT046,670.0477502
FDS01,OUT035,1950.833468
NCG55,OUT045,4852.607364
FDC11,OUT035,5190.548419
FDX35,OUT018,2704.936172
NCB06,OUT046,1372.840586
FDR09,OUT019,499.3229486
FDC53,OUT017,2911.626154
FDY45,OUT013,1230.237158
FDA22,OUT010,2976.074823
FDE02,OUT035,1439.929544
FDW21,OUT045,1766.953666
FDV34,OUT046,586.2464333
FDS59,OUT049,3166.69615
NCW17,OUT017,1774.644962
NCK54,OUT046,3413.206712
FDG17,OUT019,2039.467769
FDG35,OUT017,3666.864001
FDD08,OUT010,2520.529517
NCO07,OUT017,448.4925879
FDJ10,OUT010,1307.636045
FDW36,OUT017,210.6028703
FDW21,OUT010,4106.333746
FDY19,OUT017,5323.457169
DRE03,OUT013,3318.642018
NCC55,OUT049,497.926819
FDH52,OUT010,4012.706544
FDO09,OUT017,4148.368618
FDU43,OUT045,894.6597606
FDX09,OUT010,1648.15346
FDH40,OUT019,433.4484994
FDW58,OUT017,3503.322603
FDC47,OUT017,3365.11272
NCR41,OUT035,1960.997452
DRG49,OUT035,3128.317682
FDC52,OUT027,395.3091007
FDY13,OUT046,2703.223841
FDY35,OUT013,3225.089293
FDI35,OUT017,2534.293102
NCU18,OUT049,882.4590866
FDY33,OUT018,4602.882631
FDC15,OUT027,3149.025404
FDU01,OUT049,3030.422283
NCU42,OUT046,3749.292078
NCV29,OUT018,3815.241941
NCY30,OUT017,2376.27629
FDQ46,OUT049,1632.922299
FDG58,OUT027,3047.836854
FDK33,OUT017,1237.074518
NCD07,OUT045,2701.273948
NCX29,OUT027,2106.84808
NCT42,OUT013,2243.409771
DRN59,OUT035,2407.354945
FDI44,OUT035,227.0034722
FDA45,OUT049,280.3583504
FDP31,OUT045,848.8604914
FDY01,OUT046,609.3659318
FDT09,OUT018,2249.430278
DRH03,OUT027,2930.374867
FDA36,OUT018,379.6561819
NCF31,OUT017,3664.519874
FDG14,OUT049,2489.654809
FDG28,OUT027,1410.705719
FDU14,OUT049,3220.317658
FDY47,OUT019,3858.24701
FDI56,OUT049,681.2359922
DRD01,OUT013,3228.099831
FDM22,OUT046,2544.972077
FDH33,OUT013,4090.305
DRZ24,OUT013,1268.691322
NCQ38,OUT046,2577.402415
FDO16,OUT027,2994.346103
FDU07,OUT027,2946.680118
NCB07,OUT013,711.0658829
FDU48,OUT045,1913.992103
NCM43,OUT045,1910.931383
FDR31,OUT010,2816.880087
FDQ49,OUT018,3206.097306
FDI52,OUT027,2881.832482
FDZ44,OUT027,2815.563834
FDZ09,OUT018,3375.130912
FDY03,OUT049,1728.817735
NCG42,OUT017,2025.836608
DRI13,OUT027,4907.09084
FDQ32,OUT013,1951.29351
FDW16,OUT035,1352.091289
FDU27,OUT046,730.0763898
FDR28,OUT010,423.5145222
FDQ49,OUT010,401.3565723
FDS37,OUT046,1800.450582
FDW26,OUT018,4415.215876
FDX12,OUT018,4746.508548
NCP06,OUT013,2399.734235
FDW45,OUT010,371.1891894
NCN30,OUT049,1413.493037
FDN24,OUT049,813.9744093
NCL41,OUT027,956.4961461
FDR02,OUT019,279.7936393
FDD09,OUT010,470.5452337
FDS33,OUT010,233.1919728
FDU22,OUT045,1854.270898
FDI53,OUT013,2615.553774
DRH01,OUT049,2844.67817
FDX32,OUT013,2267.635203
NCP30,OUT018,853.9260066
FDB60,OUT045,3176.73652
FDB14,OUT049,1383.336069
NCP02,OUT035,893.934043
FDJ10,OUT017,2227.534523
FDG34,OUT046,1696.677336
NCB18,OUT017,1294.604055
FDM16,OUT049,1115.793146
FDW25,OUT018,1689.843475
FDB35,OUT010,239.4799368
DRN11,OUT013,2277.530424
FDF41,OUT019,626.7927182
FDH16,OUT045,1324.839748
NCQ50,OUT018,4287.239054
DRH23,OUT018,1144.975573
DRJ37,OUT013,2429.603973
DRJ24,OUT027,4312.7676
FDY16,OUT035,2975.084123
FDQ27,OUT045,1615.625213
FDZ33,OUT045,2371.588732
FDF29,OUT045,2058.561195
FDA08,OUT049,2626.886075
FDG31,OUT046,976.7564521
FDE34,OUT019,483.4898809
NCR30,OUT027,1688.085507
FDV33,OUT035,4092.81112
DRZ24,OUT018,2449.434112
NCL54,OUT035,2805.929071
FDR12,OUT049,2795.147004
NCC54,OUT046,3883.471798
DRN59,OUT013,726.6887964
FDX50,OUT019,277.5883411
FDV31,OUT027,4189.869246
NCA29,OUT027,4074.178252
FDW60,OUT049,2857.439058
FDX08,OUT017,2957.504149
DRD49,OUT013,3795.190201
FDD33,OUT046,3725.011755
FDW35,OUT013,696.5641414
FDJ36,OUT017,1559.542453
FDV51,OUT035,2682.190176
FDW36,OUT046,1627.267391
FDH35,OUT046,2661.22566
NCS30,OUT027,3150.965664
FDN49,OUT017,638.2543691
FDL08,OUT018,4808.302661
FDI09,OUT013,3860.142857
FDP19,OUT018,2640.117092
FDU21,OUT010,124.4012844
NCP41,OUT045,1635.759927
FDY10,OUT013,1719.966343
FDP12,OUT018,846.1138739
NCN26,OUT049,1794.64516
FDK44,OUT013,2822.532739
FDC28,OUT049,1678.645852
FDJ41,OUT027,5553.25753
NCT29,OUT035,1923.433584
NCH42,OUT019,595.4642725
FDU60,OUT018,3427.588215
FDS02,OUT045,3133.388217
FDC51,OUT046,1917.658977
FDU03,OUT013,2961.509699
FDX39,OUT045,3433.31923
NCY05,OUT010,128.9019344
NCL06,OUT027,5518.701046
FDD32,OUT035,1177.403758
NCN41,OUT045,1901.686326
NCX53,OUT049,2233.933805
FDU57,OUT019,396.7100347
FDQ23,OUT046,1593.961958
FDQ52,OUT045,3981.653188
FDC14,OUT045,664.7471942
FDY09,OUT035,2862.679747
FDZ40,OUT019,2508.879551
FDS46,OUT027,3562.225877
DRD24,OUT045,1802.081647
FDV45,OUT017,1618.608912
FDL26,OUT045,565.9384651
FDA56,OUT018,1546.677938
FDN27,OUT046,3204.020755
FDM20,OUT049,627.8422894
FDO16,OUT017,3578.656998
FDL03,OUT035,3081.171306
FDE58,OUT046,3139.793472
FDI02,OUT027,4676.125211
NCC55,OUT019,2695.815071
FDR03,OUT018,3450.163934
FDB14,OUT017,740.8553693
FDR45,OUT013,1629.92075
NCN07,OUT017,2309.884696
FDM51,OUT019,2587.537558
FDT52,OUT027,296.1569927
FDL26,OUT046,2857.999684
NCZ42,OUT046,691.1848629
DRI47,OUT019,1428.947168
FDW40,OUT013,647.5945887
FDN34,OUT046,273.0319283
FDS01,OUT035,2518.969439
NCG55,OUT045,4681.97562
FDC11,OUT035,2855.465561
FDX35,OUT018,1085.970008
NCB06,OUT046,1550.640184
FDR09,OUT019,4499.319095
FDC53,OUT017,2807.735951
FDY45,OUT013,1573.105425
FDA22,OUT010,1584.330195
FDE02,OUT035,3005.177931
FDW21,OUT045,392.3498909
FDV34,OUT046,2085.666248
FDS59,OUT049,1848.112776
NCW17,OUT017,4163.769955
NCK54,OUT046,724.8614718
FDG17,OUT019,3601.874989
FDG35,OUT017,1615.023047
FDD08,OUT010,1866.048863
NCO07,OUT017,1810.245478
FDJ10,OUT010,2959.86184
FDW36,OUT017,2483.527547
FDW21,OUT010,3655.522578
FDY19,OUT017,2001.070705
DRE03,OUT013,4022.229332
NCC55,OUT049,2985.962512
FDH52,OUT010,4072.898854
FDO09,OUT017,834.0515506
FDU43,OUT045,5240.73566
FDX09,OUT010,3980.677821
FDH40,OUT019,2628.659063
FDW58,OUT017,810.1949297
FDC47,OUT017,1900.419534
NCR41,OUT035,2887.017575
DRG49,OUT035,1910.330587
FDC52,OUT027,1961.915709
FDY13,OUT046,2278.630837
FDY35,OUT013,1524.388251
FDI35,OUT017,3659.252118
NCU18,OUT049,1954.356741
FDY33,OUT018,2908.778636
FDC15,OUT027,1319.651849
FDU01,OUT049,3905.410827
NCU42,OUT046,1971.106547
NCV29,OUT018,4234.925322
NCY30,OUT017,2239.672201
FDQ46,OUT049,1549.050251
FDG58,OUT027,3474.74426
FDK33,OUT017,1183.012693
NCD07,OUT045,4453.359153
NCX29,OUT027,2870.023311
NCT42,OUT013,133.2144047
DRN59,OUT035,434.3115361
FDI44,OUT035,2826.107384
FDA45,OUT049,4047.134894
FDP31,OUT045,2862.124884
FDY01,OUT046,2461.437824
FDT09,OUT018,3845.288051
DRH03,OUT027,1310.445784
FDA36,OUT018,1842.210659
NCF31,OUT017,1130.036655
FDG14,OUT049,649.1476779
FDG28,OUT027,3595.156232
FDU14,OUT049,579.0482875
FDY47,OUT019,1391.084536
FDI56,OUT049,4283.712043
DRD01,OUT013,633.6760285
FDM22,OUT046,1780.82093
FDH33,OUT013,2874.576765
DRZ24,OUT013,4815.717041
NCQ38,OUT046,994.2889397
FDO16,OUT027,3967.074005
FDU07,OUT027,1804.435055
NCB07,OUT013,1837.560907
FDU48,OUT045,3612.395322
NCM43,OUT045,777.4880353
FDR31,OUT010,3718.345865
FDZ40,OUT019,535.0528683
FDS46,OUT027,1506.364978
DRD24,OUT045,3028.187189
FDV45,OUT017,3468.64679
FDL26,OUT045,248.4974878
FDA56,OUT018,1413.768427
FDN27,OUT046,2899.329755
FDM20,OUT049,2552.488121
FDO16,OUT017,3029.444757
FDL03,OUT035,2791.644503
FDE58,OUT046,2345.115618
FDI02,OUT027,1896.310012
NCC55,OUT019,2902.75918
FDR03,OUT018,1521.653053
FDB14,OUT017,1342.762338
FDR45,OUT013,2387.497634
NCN07,OUT017,2892.576319
FDM51,OUT019,2610.658424
FDT52,OUT027,3701.356693
FDL26,OUT046,2668.968871
NCZ42,OUT046,2933.939009
DRI47,OUT019,136.9976125
FDW40,OUT013,4153.59928
FDN34,OUT046,287.6761374
FDS01,OUT035,2377.128146
NCG55,OUT045,619.1428655
FDC11,OUT035,1287.617499
FDX35,OUT018,2581.732019
NCB06,OUT046,3079.068972
FDR09,OUT019,658.485562
FDC53,OUT017,1123.963266
FDY45,OUT013,1300.352248
FDA22,OUT010,167.8858215
FDE02,OUT035,3789.109007
FDW21,OUT045,1788.221929
FDV34,OUT046,2021.402897
FDS59,OUT049,2411.379796
NCW17,OUT017,2981.393684
NCK54,OUT046,2842.199
FDG17,OUT019,2503.315618
FDG35,OUT017,1048.012945
FDD08,OUT010,4034.897303
NCO07,OUT017,412.3860113
FDJ10,OUT010,796.8005988
FDW36,OUT017,802.3443318
FDW21,OUT010,2715.588726
FDY19,OUT017,589.6817101
DRE03,OUT013,2667.754972
NCC55,OUT049,789.6502086
FDH52,OUT010,2486.921984
FDO09,OUT017,3770.210906
FDU43,OUT045,2886.188761
FDX09,OUT010,3993.602642
FDH40,OUT019,5432.088666
FDW58,OUT017,2838.660749
FDC47,OUT017,676.2402263
NCR41,OUT035,5063.099456
DRG49,OUT035,1539.419463
FDC52,OUT027,2727.692616
FDY13,OUT046,439.2200514
FDY35,OUT013,3536.060314
FDI35,OUT017,1746.020148
NCU18,OUT049,4979.428956
FDY33,OUT018,1865.802179
FDC15,OUT027,1202.970247
FDU01,OUT049,1631.309402
NCU42,OUT046,516.0822564
NCV29,OUT018,5308.388566
NCY30,OUT017,2875.887275
